,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector
12,New COP28 draft text does not mention phase out of fossil fuels,-0.06637868244433776,"The U.N.'s climate body on Monday published its latest draft text of the deal it hopes to reach at the COP28 summit in Dubai, which includes a range of actions countries could take to reduce emissions.",0.028470844961702824,Alison Withers,0.07243503764038906
13,"5 takeaways from the Chicago Bulls’ 4th straight win, including Coby White’s hot night and a 1st from Victor Wembanyama",-0.12973773363046348,The Chicago Bulls defeated the host San Antonio Spurs 121-112 on Friday for their fourth straight victory — their longest winning streak since February 2022.,0.09759209796902724,Julia Poe,0.06876571834436618
14,Meta and IBM Launch AI Alliance,-0.0010642878478392959,"One year after the debut of ChatGPT, companies including AMD and ServiceNow are teaming up with academia to promote ‘open’ alternatives to OpenAI",0.027246084879152477,Belle Lin,0.002361347658734303
15,Inheritance money in dispute after death of woman who made millions off sale of Sue the T-rex remains,-0.053532804507995024,Fossil hunters discovered the skeleton in 1990 on property owned by Maurice and Darlene Williams that sits on the Cheyenne River Reservation in South Dakota. The couple made $7.6 million from the auction of Sue — now on display at Chicago’s Field Museum.,0.034043775231111795,Chicago Tribune,0.06992378313225345
16,"As the Chicago Cubs, like all of MLB, wait for the Ohtani-sized domino to fall, GM Carter Hawkins focuses on preparation",-0.022596994997002184,"Chicago Cubs GM Carter Hawkins redirected when asked Monday about the team’s interest in Shohei Ohtani. In the meantime, the Cubs are plotting are variety of options they can pivot to as needed.",0.11519623140338808,Meghan Montemurro,0.04890298441750929
17,Chicago Bulls historically squander lead in 4th consecutive loss to Brooklyn Nets,-0.07010273946798407,The Chicago Bulls gave up a 21-point lead in a cataclysmic collapse to the Brooklyn Nets on Sunday.,0.08324359357357025,Julia Poe,0.03710738933295943
18,"College basketball poll: Arizona keeps its hold on the top spot, while Northwestern makes its debut at No. 25",0.010748531625722535,"Arizona has solidified its place atop the AP Top 25 men’s college basketball poll, setting up ashowdown this weekend against Purdue, the former No. 1 team in the nation.",0.07236626750091091,Dave Skretta,0.04281310900114477
19,Swedish court rules against Tesla in dispute with postal service over deliveries,-0.0608064747066237,"Tesla <a href=""https://www.reuters.com/markets/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> lost a chapter in a legal battle with Sweden's postal service on Thursday as a fight with Nordic trade unions escalates, with a Finnish union joining a port blockade…",0.04561457499221433,Reuters,-0.012023413204587996
20,White House Christmas tree secured upright after heavy winds blew it down,-0.05347313801757991,"The National Christmas Tree in front of the White House fell down during high winds but later was hoisted back upright, and its lighting ceremony will go ahead as scheduled.",0.036536350671667606,Ashraf Khalil,0.025335286984045524
21,"Photos: Bears employees participate in My Cause, My Cleats",-0.038967913715168834,"Photos of Chicago Bears employees opening and lacing up their new shoes — customized in partnership with Sneakerhead University as part of the NFL's My Cause, My Cleats campaign — on Wednesday, Dec. 6, 2023, at Halas Hall in Lake Forest.",0.0057065560249611735,Eileen Meslar,0.14314897288568318
22,"Argentina will stay in Paris climate agreement under Milei, negotiator says",-0.04371218886808492,"Argentina under incoming President Javier Milei will remain part of the Paris Agreement on climate change, the country's new top climate diplomat told Reuters on Sunday, despite the leader's past comments that global warming is a hoax.",0.04376248070184374,Jake Spring,0.08604101973469369
23,"Shelley Howard, graphic artist whose posters promoted Jam Production concerts, dies at 76",-0.04786662035621703,"Shelley Howard, who designed rock concert posters for Jam Productions, dies at 76.",0.012320763431489468,Bob Goldsborough,0.07132633402943611
24,"Chicago Bulls reportedly scour potential landing spots for Zach LaVine while weighing options for DeMar DeRozan, Alex Caruso",-0.06948644086514832,"How the latest trade chatter around Zach LaVine, DeMar DeRozan and Alex Caruso informs the next steps for the Chicago Bulls front office.",0.11257529561407864,Julia Poe,0.08435916466987692
25,Explainer: Global fossil fuel subsidies on the rise despite calls for phase-out,-0.04991776426322758,"World governments agreed at the COP26 climate summit in Glasgow two years ago to phase out ""inefficient"" fossil fuel subsidies to help fight global warming.",0.08137569262180477,Sarah Mcfarlane,0.04120164346386446
26,No. 24 Illinois beats Rutgers 76-58 in its Big Ten opener behind Terrence Shannon Jr.’s 23 points,-0.05795321852201596,"Terrence Shannon Jr. had 23 points and 10 rebounds Saturday, and No. 24 Illinois beat Rutgers 76-58 in the Big Ten opener for both schools.",0.053870256058871746,Everett Merrill,0.046424632993876
27,Okta Says Hackers Stole Data For All Customer Support Users In Cyber Breach,-0.10466283085406758,"Okta <a href=""https://www.reuters.com/markets/companies/OKTA.O"" target=""_blank"">(OKTA.O)</a> said on Tuesday that hackers stole information on all users of its customer support system in a network breach two months ago.",0.07480092433979735,Reuters,-0.029973269447509665
28,Daniel DePetris: Will taking out Hamas leader Yehya Sinwar shorten the war?,-0.018691229866817594,Israel believes that killing Yehya Sinwar will shorten the war and make its quest to destroy Hamas easier.,0.015352347087173257,Daniel DePetris,0.0522306464263238
29,Chicago Bulls beat the New Orleans Pelicans 124-118 — giving them consecutive wins for the 1st time this season,-0.13079834639211185,"The Chicago Bulls notched consecutive wins for the first time this season, defeating the New Orleans Pelicans 124-118 on Saturday at the United Center behind 31 points from Coby White.",0.14506794302724302,Julia Poe,0.10336908335739281
30,Italy's Saipem wins contracts in Brazil and Guyana worth $1.9 billion,-0.07691910298308358,"Italian energy engineering and infrastructure company Saipem <a href=""https://www.reuters.com/markets/companies/SPMI.MI"" target=""_blank"">(SPMI.MI)</a> has won two offshore contracts in Brazil and Guyana worth around $1.9 billion in total, it said on Wednesday.",0.042068616312462837,Reuters,0.04762881266651675
31,Mayor Brandon Johnson reverses council public seating plan that had drawn fire,-0.021180172101594508,"Johnson spokesman Ronnie Reese did not immediately respond to a request for comment on why the city reversed course, but the backlash had centered on how removing public access would water down government access.",0.05339258265667013,Alice Yin,0.05105110342265107
32,Loud and clear. Niallie Evans gets the message and West Aurora earns first win of the season. ‘That lit the fire.’,-0.09896324528381228,Niallie Evans scored the first two baskets of the third quarter to tie the game and West Aurora never looked back for a 44-32 win over Oswego.,0.10224701777042355,Paul Johnson,0.044787476712372154
33,"Biblioracle: With the ‘Coyote v. Acme’ film adaptation, Hollywood could learn from the publishing world",-0.03490064821016858,It seems awfully dumb to have a system in which it pays more to create and bury entertainment than to share it with audiences.,0.013096120615955442,John Warner,0.027205168906220933
34,Ask Amy: 54-year-old mother wants another child,-0.03861798693105811,"Dear Amy: At 54, my mother, already blessed with two academically accomplished children in the eighth and 12th grades, says she wants to have a third child.",0.05583385186037049,Amy Dickinson,0.08324814564548433
35,"Soot pollution from coal-fired power plants is more deadly than soot from other sources, study shows",-0.07711405376903713,"Only Pennsylvania, New York and Ohio recorded more deaths associated with coal plant pollution than the 25,000 deaths in Illinois during the period studied.",0.06431005315971561,Michael Hawthorne,0.033354020124534145
36,"Editorial: Instead of cutting nutrition benefits for poor mothers and their kids, House GOP should seek reform",-0.021389790810644627,"The dysfunctional federal WIC program, providing food support to low-income moms and their young children, should be fixed, not reduced.",0.03369862028193893,The Editorial Board,-0.019239832210587338
37,The Long Goodbye: Why Laid-Off Employees Are Still on the Job,-0.0036851619952358305,Forget the cardboard box and security-guard escort. Some employers are giving workers advance notice of their layoffs so they can look for a new job.,-0.0012740538222715259,"Te-Ping Chen, Lindsay Ellis",0.023640540945052635
38,Ask Amy: Teenage daughter purposely messing up chores,-0.03826569099328481,Dear Amy: I am furious. My husband thinks she’s being clever and doesn’t want to punish her. What do you think I should do now?,0.059099863516166806,Amy Dickinson,0.005392530874814838
39,Longtime Chicago mob attorney Joe ‘The Shark’ Lopez suspended by federal court after bashing former drug client ‘King Rudy’ for flipping,-0.058211191040754784,"Two months after being accused of badmouthing a former drug client on social media for turning government informant, longtime Chicago defense attorney Joseph “The Shark” Lopez was suspended",0.12684207119309576,Jason Meisner,0.06926682608172996
40,"Police investigating 3-hour Thanksgiving armed robbery spree on West, Southwest Sides",-0.06036937661701813,"In each of the dozen robberies, two to four men approached victims with guns, according to Chicago police.",0.05688897264190018,Adriana Pérez,0.0749944734852761
41,"Chicago weather forecast: Chilly temperatures, some snow flurries",0.006575615901965648,"Monday’s forecast shows windy and cold conditions, along with a few snow flurries, according to the National Weather Service.",-0.016081745088740718,Rebecca Johnson,0.04106061604397837
42,No SEC? Unbeaten Power 5 left out? The final 4-team College Football Playoff will be unlike any other.,-0.021334314136765897,The four-team version of the College Football Playoff is going out with drama and controversy.,0.03402720070153009,Ralph D. Russo,0.020514732859737705
43,Chicken Nuggets in Reusable Bowls? McDonald’s Isn’t Lovin’ It,-0.033556780545040965,A French law has forced the fast-food giant to serve fries and sodas in washable containers; now it is fighting a wider rollout,0.02766436285310192,Saabira Chaudhuri,-0.009524517925456166
44,"9-month-old girl shot in head Tuesday night on South Side, person being questioned by police",-0.009684971300885081,"Wednesday morning, officers followed up on a report of a 9-month-old girl being shot shortly before 11 p.m. Tuesday in the first block of East Garfield Boulevard.",0.007495163757994305,Deanese Williams-Harris,0.03432173712644726
45,Michigan State hires Jonathan Smith away from Oregon State as its new football coach,-0.07068703882396221,Michigan State is hoping Jonathan Smith can rebuild a football program that crumbled with Mel Tucker in charge.,0.12819627224234864,Larry Lage,0.07809592282865196
46,"‘Renaissance: A Film by Beyoncé' review: A bonafide superstar captures a very big tour, for concert movie posterity",-0.019810401856375393,"“Communicating as a Black woman, everything is a fight,” Beyonce says, coolly, at one point in ""Renaissance."" The touring extravaganza we see on screen is proof that the fight was, and is, worth it.",0.039041495707351714,Michael Phillips,0.07809132615511771
47,Deere forecasts downbeat profit as high borrowing costs pinch demand,-0.10249129345174879,"Deere & Co <a href=""https://www.reuters.com/markets/companies/DE.N"" target=""_blank"">(DE.N)</a> forecast 2024 profits below analysts' expectations on Wednesday, saying high borrowing costs and tighter budgets will likely dent demand for the farm equipment make…",0.04411319603968877,Bianca Flowers,0.10713386844145134
48,Colin Fleming: Here’s why I’m such a fan of Peppermint Patty’s energy in ‘A Charlie Brown Thanksgiving’,0.004923221247736365,"Peppermint Patty is the driver of ""A Charlie Brown Thanksgiving."" She shows us that earnestness can reward you and those you care about.",-0.0637327908189036,Colin Fleming,0.01476567075587809
49,"‘I can’t do a lot of things, but I can do this’: How one Chicagoan is stepping up for migrant children with disabilities",-0.016326754703186452,Experts say migrant families with disabled children face especially daunting hurdles.,0.04285058903042227,Nell Salzman,0.02540708185551921
50,"Holiday lights around Chicago: Top 10 displays for 2023, from Navy Pier to Morton Arboretum",-0.042294793704058975,"The Tribune's list of light shows in and around Chicago (and beyond), with some indoor displays if you want to avoid the cold.",0.048246770224068314,Kayla Samoy,0.045573125418741256
51,Chicago Bears vs. Detroit Lions: Everything you need to know about the Week 14 game before kickoff,-0.04218244698131457,The 4-8 Chicago Bears will play the 9-3 Detroit Lions at Soldier Field in a Week 14 matchup. Here’s what you need to know before kickoff.,0.0905003072693944,Colleen Kane,0.12320067326072603
52,Column: The complicated legacy of Norman Lear and ‘Good Times’,-0.03948592010419816,"Both the cast of ""Good Times"" and the show's co-creator Eric Monte pushed back on the show's depiction of Black people.",0.07272143985028379,Nina Metz,0.009252596995793283
53,Republican National Committee backs effort to block mail-in ballots received after Election Day,-0.023642735544854077,Republican National Committee promotes mail-in voting while also filing a brief in support of appeal in lawsuit that seeks to block mail-in ballots received after Election Day in Illinois.,0.0016848597006173804,Rick Pearson,0.018872172106057405
54,Residents and fellows training at Northwestern Medicine file to unionize,-0.02665842857095413,"Though most residents have already signed salary agreements, members are hoping that unionizing will allow them to get better cost-of-living adjustments in the future.",0.057101821876131,Ilana Arougheti,-0.002235405001556501
55,"Defying fate, woman with early-onset Alzheimer’s gene joins new drug trial at Park Ridge hospital",-0.021995097344188252,"Heather Mejia, 44, learned she carried a gene for early onset Alzheimer's disease and enrolled in a clinical trial at Advocate Lutheran General Hospital in Park Ridge, managed by Dr. Darren Gitelman.",0.06611656578024849,Elena Ferrarin,0.06299313466297463
56,Scientists launch research effort at COP28 for Congo rainforest,-0.05848283611703664,"Hundreds of scientists at the United Nations <a href=""https://www.reuters.com/sustainability/cop/"">COP28</a> climate summit on Sunday launched a research coalition aimed at correcting a historic lack of information about the Congo River basin and its rainfore…",-0.014266042970120907,Jake Spring,0.11949295899830759
57,Wauconda High School teacher killed in head-on collision,-0.03178871907584835,"Wauconda teacher Robert Gillen, 53, was driving early Sunday morning when his car was struck head-on by a motorist who was in the wrong lane and may have been driving drunk, according to Wheeling police.",0.03878075996180996,Clifford Ward,0.11089387096581049
58,"Man found dead after Rogers Park apartment fire, Chicago police say",-0.06825092027429491,"A man was found dead Monday morning after a Rogers Park apartment fire, according to Chicago police.",0.09775942622218281,Rebecca Johnson,0.09313565958291292
59,"Jordan Love ties career high with 3 TD passes, leads Packers to 29-22 win over NFC North-leading Lions",-0.04815369367133826,"Jordan Love set the tone with a 53-yard pass to Christian Watson on the first snap and finished with a career-high-tying three touchdowns, leading the Green Bay Packers to a 29-22 win over the NFC North-leading Detroit Lions on Thursday.",0.03665959485806525,Larry Lage,0.06098234496312216
60,"Man fatally wounded overnight in West Loop neighborhood, cops say",-0.024418616318143904,"Shortly before 1 a.m., police responded to a person shot in the 100 block of North Clinton Street and found a man wounded in the 500 block of West Lake Street.",0.06772948793877731,Deanese Williams-Harris,0.003793198789935559
61,Elizabeth Shackelford: Ukrainians won’t submit to Russian rule. The horrors of the Holodomor help explain why.,-0.018149259209167212,The Great Famine in the 1930s shows Ukraine's good reason not to trust that its people would be safe under Russian rule.,0.04321657972468529,Elizabeth Shackelford,-0.006492042593890801
62,‘Midwestern Food’ Review: Hungry for the Heartland,-0.04177944880211726,"Proudly asserting the culinary bona fides of a region so diverse, even its residents sometimes disagree on the definition of ‘Midwestern.’",0.01744850720569957,J. Ryan Stradal,-0.017915872886078432
63,Tom Allen won’t return for an 8th season as Indiana football coach,-0.055520205409266055,The Indiana Hoosiers will not bring back football coach Tom Allen next year for an eighth season.,0.025309245189419016,Michael Marot,0.07110151662345743
64,Walmart shifts to India from China for cheaper imports,-0.041339308983879164,"Walmart <a href=""https://www.reuters.com/markets/companies/WMT.N"" target=""_blank"">(WMT.N)</a> is importing more goods to the United States from India and reducing its reliance upon China as it looks to cut costs and diversify its supply chain, data seen by Re…",-0.01814496878068894,Richa Naidu,0.0315788050647825
65,Homewood teen who fled Israel grateful to celebrate Hanukkah with family,-0.06510062102461234,"Josh Jury, of Homewood, planned to celebrate Hanukkah in Israel, but says he's grateful to be with his family for this year's celebration.",0.03199813549872488,Alexandra Kukulka,-0.0005299804106471129
66,Kevin Korchinski takes a temporary leave from the Chicago Blackhawks for a ‘family matter’,-0.07585963467136025,The Chicago Blackhawks on Saturday placed rookie defenseman Kevin Korchinski on the non-roster because of a family matter and had no estimate for when he’ll return.,0.058141932902799454,Phil Thompson,0.10236716084182262
67,China’s Latest EV Stocks Face Uncertain Reception in New York,-0.03001274651614949,Fast-growing startups Zeekr and Lotus will need to persuade investors they can handle brutal competition at home and geopolitical tensions abroad,0.0009620020864531398,Stephen Wilmot,0.02096539206104353
68,Burger King exec back on stand in ex-Ald. Ed Burke corruption trial,-0.06660420223488472,The son of a Texas-based fast-food restaurant tycoon resumes testifying in ex-Ald. Edward Burke’s corruption trial Tuesday.,0.08961091059609316,"Jason Meisner, Ray Long, Megan Crepeau",0.07786771049723029
69,How Elon Became an ‘Antisemite’,0.018004321842454374,‘Tristram Shandy’ is the press’s handbook for whipping words to obey a narrative.,0.02499659031673218,Holman W. Jenkins,-0.0014349399134516716
70,"It was far from perfect, but there was a lot to love in the Chicago Bears’ win against the Minnesota Vikings",-0.08193832082906738,"Monday’s victory, as flawed and error-filled as it was for the Chicago Bears, came loaded with winning contributions that matter for a team making a difficult and suddenly spirited climb.",0.03642056352691725,Dan Wiederer,0.060250747366808355
71,Tesla vs. Toyota Is the New Hot Battle in Cars,-0.009367469581775367,Elon Musk’s all-electric ambition faces renewed embrace of hybrids,0.0005904981662752107,Tim Higgins,0.027502875425852835
72,Youth football teams from Dixmoor and Robbins fall short of championship wins in Florida playoffs,-0.013952403503935784,The Dixmoor Vikings youth football team scored second place in national Pop Warner playoffs held in Florida.,0.059423694445285946,Mike Nolan,0.02251013078421238
73,Biden to skip COP climate meeting in Dubai- official,-0.014660018612630665,"U.S. President Joe Biden will not attend a gathering of world leaders focused on climate change in Dubai this week, a U.S. official said on Sunday.",-0.01155635393661214,Reuters,0.03435538324993104
74,Hillary Clinton at COP28 climate talks calls for insurance reform,-0.03452574372931849,"Former U.S. Secretary of State Hillary Clinton called on Sunday for reform of the insurance sector, where companies are increasingly withdrawing assistance against climate shocks.",0.07636276990524493,Elizabeth Piper,0.10064540052553639
75,Cops warn businesses of overnight burglaries on 47th Street in Kenwood neighborhood,0.025059079518541694,"The burglaries happened shortly after 5:15 a.m. Thursday in the 1300 and 1400 blocks of East 47th Street, police said.",0.0236530511683668,Deanese Williams-Harris,0.005888412182684988
76,"Editorial: Israelis with loved ones held in Gaza poured their hearts out to us. One just got good news, gratefully.",-0.026508511044085026,"The plea was simple: Bring home the people we love, alive and well.",0.04511825896679511,The Editorial Board,0.04290091141592711
77,How Long Can the ‘Magnificent Seven’ Stocks Hold the Line?,-0.01183351458166726,"With portfolios concentrated in a handful of expensive stocks, a few company-specific outcomes could have seismic consequences",-0.0023978131866897456,Jon Sindreu,0.04114656746969558
78,Chicago Bears Q&A: What’s Justin Fields’ future now? What to make of Martellus Bennett’s comments? What would it take to get new ownership?,-0.07666639890521765,Did Justin Fields' performance Sunday in Detroit change his outlook with the Chicago Bears? Brad Biggs answers your questions weekly.,0.07326513723819517,Brad Biggs,0.11977624642895535
79,Photos: Salesforce Tower opens in downtown Chicago,-0.13814962343894877,"Salesforce celebrated the grand opening of its 57-story, 1.2 million-square-foot Chicago tower on Dec. 5, 2023, a bold new addition to the city’s skyline rising up amid a slumping office market. <br>
<br>
Located along the Chicago River at the Wolf Point site…",0.06924582181090955,nan,0.1061946862610057
80,US FDA gives second approval to Eli Lilly's drug for type of blood cancer,-0.09981324468390085,"Eli Lilly <a href=""https://www.reuters.com/markets/companies/LLY.N"" target=""_blank"">(LLY.N)</a> said on Friday the U.S. Food and Drug Administration (FDA) gave a second approval for its drug Jaypirca, which is used to treat a form of blood cancer.",0.06584952076809714,Reuters,0.05846397008281201
81,"Shohei Ohtani and the Los Angeles Dodgers agree to a 10-year, $700 million deal — the largest in MLB history",-0.0477176463464275,"Two-way superstar Shohei Ohtani and the Los Angeles Dodgers have agreed to a 10-year, $700 million contract, the largest in Major League Baseball history.",0.06382763315923512,Meghan Montemurro,0.012061857341905124
82,"A strong El Nino winter is expected, scientists say. Here’s what it means for snow and temps in Chicago.",-0.0753908793994924,"For Chicago, an El Nino winter likely means warmer, drier weather from December through February.",-0.00931331045285333,Rebecca Johnson,0.08419513918488519
83,Black Friday Spending Was Strong. How People Pay for Gifts Is Upending Retailers.,-0.0597721494268626,Consumers are shifting away from store credit cards as brand loyalty wanes and interest rates rise,0.05663318315055221,"Suzanne Kapner, Imani Moise",0.020396018953761086
84,Carolina Panthers fire Frank Reich with team off to NFL-worst 1-10 record,0.03221936273621395,The Carolina Panthers fired Frank Reich on Monday following the team’s NFL-worst 1-10 start in his first year at the helm.,0.08337032780400477,Steve Reed,0.03313582436385332
85,"Exclusive: Boeing signals two month delay to 737 production ramp-up, sources say",-0.08374379766610218,"Boeing <a href=""https://www.reuters.com/markets/companies/BA.N"" target=""_blank"">(BA.N)</a> has signaled to suppliers that plans to ramp up production of its bestselling 737 narrowbody jetliner will move about two months more slowly than originally anticipated…",0.04099833460713853,Valerie Insinna,0.04934807999234181
86,"When Don and Barbara Rickles met Bob and Ginnie Newhart, they became friends for life — as told in Judd Apatow’s latest film",-0.05112864845432341,"Judd Apatow's latest film, ""Bob and Don: A Love Story,"" is one of the best movies of this or any year.",0.08760991881717928,Rick Kogan,0.03307910787407309
87,Daywatch: Why the Skokie Swift remains closed,-0.041570479865185916,"Good morning, Chicago. Here are some of the top stories you need to know to start your day.",0.07327409868594259,Chicago Tribune staff,0.08200362208299339
88,Behind Tesla’s Challenges in Making the Cybertruck: Ultrahard Stainless Steel,-0.033319344045594335,The metal used for the pickup truck’s distinctive exterior has been difficult to manipulate,0.028659876115852967,Rebecca Elliott,0.014453119074460119
89,COP28 enters crunch time with countries at odds over fossil fuels,-0.05193520680768415,"With the COP28 climate talks entering crunch time on Monday, U.N. climate chief Simon Stiell urged countries to come together to reach a final deal for the summit - where they were facing off over whether to call for an end to fossil fuels.",0.09660667009302415,Kate Abnett,0.10807739547453821
90,"Laura Washington: Art Basel, ‘the Super Bowl of art fairs,’ is selling Black artists short",-0.0032428863341920078,"Art Basel in Miami may be the “it show,” but there is not enough participation from people of color.",0.058028368948725984,Laura Washington,-0.0011367975348548498
91,"Shohei Ohtani and the Los Angeles Dodgers agree to a 10-year, $700 million deal — the largest in MLB history",-0.0477176463464275,"Two-way superstar Shohei Ohtani and the Los Angeles Dodgers have agreed to a 10-year, $700 million contract, the largest in Major League Baseball history.",0.06382763315923512,Meghan Montemurro,0.012061857341905124
92,Alaska Air Reaches Deal to Buy Hawaiian Airlines,-0.0008672429830767214,Alaska Air will pay roughly $1 billion in cash to acquire a rival in the Pacific region,0.024856653762981296,Alison Sider,0.039509921392891556
93,Letters: Strike at Columbia College in Chicago highlights what’s happening to arts education,-0.01306343862961512,"The Columbia College union’s decision to strike speaks to the value of arts education, as well as the school’s mission.",-0.016841229691635817,Chicago Tribune,0.010550105478614569
94,Letters: Underlying issues between Israelis and Palestinians need to be addressed,0.017996325783315115,The truce and release of Israeli hostages must not detract from addressing the major underlying issues that have fueled the conflicts between Israelis and Palestinians.,-0.03905612655216828,Chicago Tribune,0.04154832934727892
95,Chicago Architecture Center and City Colleges building a path for youths to find careers in architecture,-0.04237438775089686,The Teen Fellows program helps high schoolers gain experience with design and architecture professionals in the industry.,0.03852606221335009,Darcel Rockett,0.09133355203084648
96,Should Alex Caruso earn NBA All-Star consideration? His Chicago Bulls teammates say yes. ‘He’s everything.’,-0.020455169258639216,Alex Caruso's teammates on the Chicago Bulls made a campaign for his All-Star bid.,0.08040832949336618,Julia Poe,0.08352896703581791
97,Chicago Fed president Goolsbee says inflation on track to reach 2% goal,-0.016929554316448048,"Speaking at the regional bank’s annual economic outlook symposium, Chicago Fed president Austan Goolsbee said the latest inflation data — which showed consumer prices flattened between September and October — was “absolutely what we wanted it to be.""",0.1190426977846073,Talia Soglin,0.07821712095756084
98,Chicago Blackhawks’ Taylor Hall is expected to miss the rest of the season with a right knee injury,-0.03388453577645123,"Chicago Blackhawks forward Taylor Hall will have right knee surgery, likely sidelining the 2018 NHL MVP for the rest of the season.",0.041284522390924394,Associated Press Staff,0.04061545041622594
99,"World's largest iceberg breaks free, heads toward Southern Ocean",-0.032603059968096204,"The world's largest iceberg is on the move for the first time in more than three decades, scientists said on Friday.",0.01909148192498833,Gloria Dickie,0.05143230175599456
100,"Detroit Casino Council ratify contract with MGM, Penn",-0.09697622957173735,"Union members with the Detroit Casino Council have voted to ratify a new contract with MGM Grand Detroit, operated by MGM Resorts, the Unite Here union said on Saturday.",0.07120804167789174,Reuters,-0.026033882575575262
101,Zelensky Orders Construction of Defenses...,-0.029275788052473217,Call to bolster fortifications is the Ukrainian leadership’s clearest public acknowledgment of a defensive turn,-0.0044852066348539665,wsj,0.03268518048571423
102,Tesla's Cybertruck - top features and specifications,-0.05610392981907353,"Tesla's <a href=""https://www.reuters.com/markets/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> Cybertruck has caught the attention of many drivers with its polarizing design that promises a durable build and unique features.",0.04080249473918229,Reuters,0.023579760338179767
103,Reaction to the death of former US Supreme Court Justice Sandra Day O’Connor,-0.03820963868201943,"Published by Reuters WASHINGTON (Reuters) – Here are reactions to the death of retired Justice Sandra Day O'Connor, the first woman on the U.S. Supreme Court, whose centrist views and shrewd negotiating skills allowed her to steer the nation's law for much of…",0.11487846111413091,Towleroad,0.023402784252539277
104,Afternoon Briefing: Burger King testimony nearly complete in ex-Ald. Ed Burke trial,-0.03172600764082745,"Good afternoon, Chicago. Here's what is happening today.",0.04987628074013628,Chicago Tribune staff,0.03703277767635882
105,Dollar Could Extend Recovery if Fed Dampens Rate-Cut Expectations,-0.0062472408171743155,,0.007407078752294183,nan,0.009668799504197523
